Season,Team,FG,FGA,FG_perc,x2P,x2PA,x2P_perc,x3P,x3PA,x3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Final_Four,Champion
2024-25,Duke,29.5,58.4,0.505,19.2,32.4,0.593,10.3,26,0.396,15.1,18.6,0.814,9.6,25.7,35.3,17.2,6.1,3.8,8.7,15.8,84.4,Yes,No
2024-25,Houston,26.8,58.1,0.462,19.4,38.8,0.499,7.5,19.3,0.386,11.1,15.1,0.732,10.5,21.1,31.6,11.7,7.8,4.2,8.5,15.9,72.1,Yes,No
2024-25,Auburn,28.7,61.3,0.468,19.9,37.7,0.528,8.8,23.7,0.373,16.6,22.4,0.742,10.2,22.5,32.7,14.7,7.2,6.3,9,19.4,82.9,Yes,No
2024-25,Florida,29.2,62.7,0.465,19.1,34.6,0.552,10.1,28.1,0.358,14,20.2,0.694,11.3,25.4,36.7,15.6,7.4,4.3,9.8,17.6,82.4,Yes,Yes
2023-24,Connecticut,29.4,59.2,0.497,20.9,35.4,0.591,8.5,23.8,0.358,14.1,18.9,0.743,11.7,27.1,38.8,18.7,6.2,5.4,9.6,16.3,81.4,Yes,Yes
2023-24,Houston,26.5,60.6,0.437,19.1,39.2,0.486,7.4,21.4,0.348,12.5,17.6,0.712,10.9,21.6,32.5,12.6,9.6,4.2,7.7,18.1,72.9,No,No
2023-24,Purdue,28.2,58.1,0.485,19.7,37.8,0.522,8.5,20.4,0.418,18,24.7,0.728,12.1,26.1,38.1,18.1,4.8,3.3,10.6,15,82.9,Yes,No
2023-24,North Carolina,27.4,62.4,0.439,19.6,39.9,0.491,7.8,22.5,0.347,16.2,21.7,0.746,10.8,28.7,39.4,14.2,5.8,4.2,10,17,78.7,No,No
2022-23,Alabama,28.1,61.2,0.458,17.8,31.2,0.571,10.2,30,0.341,16.7,22.3,0.749,9.5,29.4,38.9,15.1,6.3,4.6,12,18.8,83.1,No,No
2022-23,Houston,27.9,59.2,0.472,19.6,35.7,0.547,8.4,23.5,0.357,13.1,17.7,0.739,10.7,23.6,34.3,15.1,8.3,4.5,8.7,17.4,77.3,No,No
2022-23,Kansas,26,57.9,0.449,19.1,37.6,0.508,6.9,20.3,0.339,14.4,19.7,0.734,7.8,24.2,31.9,15.9,8,3.7,11.8,17.2,73.3,No,No
2022-23,Purdue,25.3,54.7,0.462,18.4,34.6,0.532,6.9,20.1,0.341,13.6,18.4,0.738,10.7,24.4,35.1,15.3,5,3.5,11.2,13.4,70.9,No,No
2021-22,Kansas,26.9,58.4,0.461,19.8,38.6,0.514,7.1,19.8,0.356,14.3,19.6,0.728,10.2,26.1,36.3,14.4,5.4,4.1,12.7,15.9,75.1,Yes,Yes
2021-22,Arizona,29.6,59.8,0.495,22.2,38.4,0.578,7.4,21.4,0.346,15.5,21.2,0.729,9.8,27.9,37.7,19.3,6.1,5.1,13.1,16,82.1,No,No
2021-22,Baylor,25.9,57.7,0.45,18.5,35.9,0.515,7.4,21.8,0.342,12.8,18.1,0.708,10.2,22.2,32.4,13.8,7.4,3.2,12.4,16.1,72.1,No,No
2021-22,Gonzaga,34.3,65.1,0.526,25.1,42.6,0.588,9.2,22.5,0.41,13,17,0.765,7.4,31.6,39,19,7.2,6.1,11.4,15.6,90.8,No,No
2020-21,Gonzaga,33.1,60.1,0.551,26,40.9,0.635,7.1,19.2,0.372,17.5,23.3,0.751,7.2,26.9,34.1,17.1,8.3,3.1,12.6,16.7,90.9,Yes,No
2020-21,Baylor,29.9,60.4,0.495,19.7,36.2,0.544,10.1,24.1,0.42,11.1,16.6,0.665,9.9,21.2,31.1,15.3,9,3.4,12.2,17.6,80.9,Yes,Yes
2020-21,Illinois,28.3,58,0.488,21.7,39.7,0.545,6.7,18.3,0.364,15.4,22.3,0.688,9,27.7,36.7,16,5.7,2.7,12.4,17.6,78.6,No,No
2020-21,Michigan,26.8,56.4,0.475,19.5,37.9,0.514,7.4,18.5,0.397,12.5,16.3,0.769,7.7,26.6,34.4,14.1,4.3,4.2,11.1,14.6,73.6,No,No
2018-19,Duke,28.5,62.3,0.458,21.3,37.9,0.562,7.2,24.4,0.296,14.6,20.7,0.702,11.2,25.9,37.1,14.7,8,6.3,12.6,15.7,78.8,No,No
2018-19,Gonzaga,31.9,59.6,0.535,24.9,40.1,0.622,6.9,19.6,0.355,15.5,19.7,0.787,8.1,27.5,35.6,17.5,7.4,5.9,8.8,15.3,86.2,No,No
2018-19,Virginia,25.8,53.6,0.481,17.1,33.4,0.512,8.7,20.1,0.431,10.2,14.3,0.716,7.3,25.6,32.9,14.3,4.8,4.7,8.9,13.8,70.4,Yes,Yes
2018-19,North Carolina,30.1,66.1,0.455,20.5,40.9,0.501,9.6,25.2,0.379,14.2,19.4,0.734,11.3,28.4,39.7,19.3,6.9,3.6,12.6,16.7,83.9,No,No
2017-18,Kansas,27.4,57.9,0.473,17.9,33.2,0.541,9.4,24.7,0.382,13.3,19.3,0.69,8.1,22.2,30.3,15.1,5.7,4.1,11.3,16.1,77.6,Yes,No
2017-18,Villanova,31.8,62.2,0.511,20.3,32.3,0.629,11.4,29.8,0.384,13,16.8,0.772,6.8,24.2,30.9,16.8,6.2,3.7,9.5,16.6,88,Yes,Yes
2017-18,Virginia,23.8,53.7,0.444,16.3,34.3,0.476,7.5,19.3,0.388,8.9,11.9,0.749,7,21.8,28.8,13.3,6.7,3.9,7.8,13.3,64.1,No,No
2017-18,Xavier,28.6,59.8,0.478,20.7,37.8,0.547,7.9,22,0.359,17.8,23,0.775,8.7,25.8,34.4,16.3,5.9,2.4,12.6,16.4,82.8,No,No
2016-17,Gonzaga,31,58.1,0.534,23.8,38.9,0.613,7.2,19.2,0.374,16.6,22.9,0.722,7.8,29.4,37.2,16.6,7.2,4.6,10.6,15.4,85.7,Yes,No
2016-17,Kansas,27.7,59.4,0.467,18.8,37.8,0.498,8.9,21.6,0.412,16.1,22.7,0.708,10.9,24.4,35.3,15.6,6.4,3.9,13.3,16.7,80.4,No,No
2016-17,Villanova,26.6,53.8,0.493,18.4,30.3,0.607,8.2,23.6,0.347,15,18.8,0.799,7.9,22,29.9,14.1,7.6,3.1,11.6,15.4,76.3,No,No
2016-17,North Carolina,30.6,66.3,0.461,23,45.5,0.505,7.6,20.8,0.365,12.9,18.7,0.69,13.6,25.6,39.1,17.4,6.4,3.5,11.2,17.6,81.7,Yes,Yes
2015-16,North Carolina,29.9,65.2,0.46,25.1,47.9,0.523,4.9,17.3,0.283,15.1,20.6,0.735,13.6,25.1,38.7,17.2,6.8,4.4,11.2,18.9,79.9,Yes,No
2015-16,Kansas,27.6,57.6,0.479,19.2,37.3,0.514,8.4,20.3,0.414,14.3,20.3,0.705,9.3,26.2,35.5,14.1,5.4,4.2,12.3,19.4,77.8,No,No
2015-16,Oregon,27.3,58.4,0.467,20.2,38.1,0.529,7.1,20.3,0.35,16.2,21.9,0.737,9.5,21.7,31.2,13.3,6.7,5.4,10.6,18.8,77.8,No,No
2015-16,Virginia,24.3,50.4,0.481,18.5,36.1,0.513,5.8,14.4,0.402,13.1,17.2,0.758,6.7,21.6,28.3,14.2,5.2,3.2,9.8,16.5,67.4,No,No
2014-15,Duke,27.8,57.3,0.485,19.9,37.4,0.531,7.9,19.9,0.399,15.2,21.9,0.691,10.9,23.9,34.9,14.8,6.4,3.8,11.3,15.6,78.8,Yes,Yes
2014-15,Kentucky,25.2,54.1,0.465,19.8,39,0.507,5.4,15.1,0.357,18.4,24.8,0.743,10.3,22.4,32.7,13.4,5.7,6,9.8,16.8,74.2,Yes,No
2014-15,Wisconsin,24.5,51.4,0.477,17.7,32.3,0.546,6.8,19.1,0.359,14.5,19,0.763,8.2,21.4,29.6,11.7,3.4,3.1,6.7,11.5,70.3,Yes,No
2014-15,Villanova,24.5,52.9,0.463,14.5,27.9,0.52,10,25,0.4,17.7,23.9,0.738,8.9,22.6,31.4,15.9,6.7,3.8,10.6,16.9,76.7,No,No
2013-14,Florida,24.2,52.1,0.464,16.5,30.6,0.54,7.7,21.5,0.357,15.3,22.4,0.685,9.7,22.3,32,14.4,7,2.9,11,16.3,71.3,Yes,No
2013-14,Wichita State,24.2,52.8,0.457,16.9,31.9,0.531,7.2,20.9,0.345,18.3,24.8,0.738,9.9,24.6,34.4,13.9,6.6,5.6,10.8,16.5,73.9,No,No
2013-14,Arizona,25.6,57,0.449,20.8,42.4,0.49,4.8,14.6,0.331,15.4,23.8,0.65,10.4,24.2,34.6,14.8,6.2,3.8,10,16.9,71.5,No,No
2013-14,Virginia,23.7,52.2,0.455,17.8,37.1,0.479,5.9,15.1,0.395,14,21.1,0.665,8.9,22.2,31.1,14,5.2,3.6,8.1,16.4,67.4,No,No
2012-13,Louisville,24.7,56.3,0.438,19.8,40.7,0.486,4.9,15.6,0.313,15.9,22.2,0.718,12,23.1,35.1,14.8,10.1,4.9,12.4,17.6,70.2,Yes,Yes
2012-13,Gonzaga,27.3,55,0.495,20.3,36.6,0.555,6.9,18.4,0.378,15.8,21.6,0.733,10.2,23.5,33.7,15.1,7.6,3.4,10,15.2,77.3,No,No
2012-13,Kansas,24.8,54.8,0.453,19.3,39,0.494,5.6,15.8,0.352,17.2,24.3,0.709,10.5,25.9,36.4,13.8,7.3,5.6,13.6,18,72.4,No,No
2012-13,Indiana,24.7,53.4,0.463,17.6,36.2,0.485,7.2,17.2,0.416,17.9,24.6,0.731,10.7,22.6,33.3,12.5,6.6,3.6,12.5,17.2,74.6,No,No
2011-12,Kentucky,26.8,54.3,0.494,20.9,39.9,0.524,5.9,14.4,0.413,15.1,20.4,0.739,9.7,23.1,32.8,12.6,6,8.6,9.1,13.5,74.6,Yes,Yes
2011-12,Michigan State,24.6,52.1,0.473,19.4,37.8,0.515,5.2,14.3,0.362,13.8,19.4,0.713,9.5,24.1,33.6,13.8,6.8,3.6,12.1,16.9,68.2,No,No
2011-12,North Carolina,28.3,64.6,0.439,23.8,49.7,0.479,4.5,14.9,0.303,15.8,21.8,0.722,14.1,27.6,41.7,15.3,6.3,6.1,11.1,15.4,76.9,No,No
2011-12,Syracuse,26.3,57.8,0.455,20.8,40.6,0.514,5.5,17.3,0.318,13.2,18.8,0.699,10.3,21.3,31.7,15.5,8.7,7.4,9.9,15.4,71.4,No,No
2010-11,Ohio State,25.7,51.3,0.5,18,34.4,0.523,7.7,16.9,0.452,15.5,21.8,0.712,8,19.8,27.8,14.6,6.4,2.3,10.3,15.4,74.5,No,No
2010-11,Duke,26.1,59.5,0.438,18.8,37.8,0.496,7.3,21.7,0.337,14.9,20.1,0.739,11.1,24.9,36,12.2,6.4,4.6,11.6,17.1,74.3,No,No
2010-11,Kansas,29,56.8,0.511,21.4,38.1,0.563,7.6,18.7,0.405,15.6,23.1,0.675,10.3,24.1,34.4,17.4,7.4,3.8,13.2,18.1,81.1,No,No
2010-11,Pittsburgh,23.7,51.1,0.464,18.3,37.4,0.489,5.4,13.7,0.394,16.6,24.1,0.688,10.7,23.6,34.3,15.5,4.4,3.2,11.7,18.6,69.3,No,No
2009-10,Duke,24.7,58.6,0.421,17.6,39.1,0.45,7.1,19.5,0.362,17.1,22.8,0.748,14.8,19.3,34.1,12.4,6.9,3.3,11.2,19.5,73.5,Yes,Yes
2009-10,Kentucky,26.8,58.8,0.455,21.1,40.1,0.526,5.7,18.8,0.303,17.7,26.1,0.679,14.3,23.8,38.1,12.7,7.2,7.3,13.9,17.1,76.9,No,No
2009-10,Kansas,27.9,58.6,0.476,21.2,41.5,0.511,6.7,17.1,0.392,17.1,24.3,0.704,13.9,22.9,36.9,15.6,8.2,5.9,12.9,18.6,79.6,No,No
2009-10,Syracuse,27.9,57.3,0.487,22.6,41.7,0.541,5.3,15.6,0.343,16.1,22.8,0.705,12.9,22.2,35.1,17.2,7.9,6,14.4,14.7,77.2,No,No
2008-09,North Carolina,30.3,66.3,0.456,23.3,47.7,0.488,7,18.6,0.376,19.8,25.3,0.782,16,23.3,39.3,16.8,6.5,5,13.4,15.6,87.3,Yes,Yes
2008-09,Louisville,27.1,58.9,0.46,19.4,37.6,0.516,7.7,21.3,0.362,10.8,17.2,0.629,12.3,21.8,34.1,15.8,8.6,6.1,13.6,17.1,72.8,No,No
2008-09,Connecticut,24.9,53.6,0.465,20.8,41.9,0.497,4.1,11.7,0.351,14.9,22.4,0.666,13.2,24.1,37.2,13.1,5.1,7.8,11.5,11.1,72.3,Yes,No
2008-09,Pittsburgh,28.2,57.3,0.491,21.8,40.5,0.539,6.3,16.8,0.376,11.7,17.3,0.673,13.7,20.9,34.6,17.1,5.9,3.6,11.5,16,78.2,No,No
2007-08,Memphis,28.4,61.9,0.459,21,40.6,0.518,7.4,21.3,0.346,15.4,25.3,0.607,14.3,25.3,39.6,15.1,8.6,5.6,10.9,17.5,79.5,Yes,No
2007-08,Kansas,28.6,58.3,0.491,22.5,42.8,0.526,6.1,15.5,0.395,17,22.5,0.756,12.6,24.3,36.9,17.3,7,5.7,13,18.5,80.4,Yes,Yes
2007-08,North Carolina,31.3,66.4,0.47,25.9,52.3,0.496,5.3,14.2,0.374,19.4,24.8,0.783,16.1,24.8,40.8,16.4,6.8,5,14.9,18,87.3,Yes,No
2007-08,UCLA,26.4,55.3,0.477,21.6,41.1,0.526,4.8,14.3,0.335,16.3,21.3,0.763,12.4,20.3,32.8,13.6,7.8,3.8,12.3,14.8,73.8,Yes,No
2006-07,Florida,24.4,48.5,0.503,18.6,33.4,0.556,5.8,15.1,0.384,14.7,21.8,0.673,10.1,19.8,29.9,12.9,6.3,4.1,13.6,15.6,74.9,Yes,Yes
2006-07,Kansas,30.3,60.1,0.503,24,45.2,0.531,6.3,14.9,0.418,14.1,21.4,0.656,12.8,26.4,39.3,16.9,9,6.1,14.1,19.2,80.8,No,No
2006-07,North Carolina,28.4,58.9,0.482,23.6,44.5,0.531,4.8,14.4,0.33,17.4,24.4,0.713,13.1,21.8,34.8,16.9,7.8,4.3,12.9,17.3,84.4,No,No
2006-07,Ohio State,23.8,53,0.449,17.2,33.2,0.518,6.6,19.8,0.334,14.3,20.3,0.704,10.9,21.2,32.1,14.9,5.8,6.1,10.6,13.1,68.5,Yes,No
2005-06,Memphis,27.1,60.4,0.448,19.8,39.7,0.498,7.3,20.7,0.352,19.5,27.6,0.705,15.5,22,37.5,15.3,10,6.5,14.6,20.1,80.9,No,No
2005-06,Duke,27.7,57.6,0.481,19.3,37.1,0.521,8.4,20.5,0.409,19.8,25.3,0.782,10.1,19.8,29.9,16.1,10.1,6.3,14.9,18.6,83.5,No,No
2005-06,Connecticut,27.8,59.9,0.464,22.8,45,0.506,5.1,14.9,0.339,16.5,23.6,0.698,15.6,25.3,40.9,15.6,5.4,9.9,14.4,14.8,77.2,No,No
2005-06,Villanova,24.3,60,0.404,15.2,36.4,0.417,9.1,23.6,0.385,16.4,21.4,0.764,14.1,17.3,31.4,11.6,7.6,4.6,11.1,18.6,73.9,No,No
2004-05,Illinois,27,55.6,0.485,17.9,33.7,0.532,9.1,21.9,0.413,12.9,17.1,0.755,10.1,19.5,29.6,17.5,8.1,2.7,10,15.5,75.9,Yes,No
2004-05,North Carolina,28.5,57.8,0.494,22.2,40.9,0.542,6.3,16.8,0.375,18.4,24.8,0.741,13.4,22.8,36.1,17.4,8.8,3.7,15.4,17.4,87,Yes,Yes
2004-05,Duke,24.5,54.8,0.447,15.4,32.2,0.48,9.1,22.6,0.401,16.9,23.6,0.716,11.8,18.8,30.6,11.6,8.5,5.7,12.8,17.4,80.7,No,No
2004-05,Washington,30.7,64.8,0.473,23.1,44.6,0.519,7.6,20.3,0.373,15.1,20.7,0.729,14.7,18.6,33.3,18.7,8.5,2.3,14.2,20.7,84,No,No