team_short_display_name,conference
Boston College,ACC
California,ACC
Clemson,ACC
Duke,ACC
Florida State,ACC
Georgia Tech,ACC
Louisville,ACC
Miami,ACC
NC State,ACC
Miami,ACC
North Carolina,ACC
Notre Dame,ACC
Pittsburgh,ACC
SMU,ACC
Stanford,ACC
Syracuse,ACC
Virginia,ACC
Wake Forest,ACC
Arizona State,Big 12
Arizona,Big 12
BYU,Big 12
Baylor,Big 12
Cincinnati,Big 12
Colorado,Big 12
Houston,Big 12
Iowa State,Big 12
Kansas,Big 12
Kansas State,Big 12
Oklahoma State,Big 12
TCU,Big 12
Texas Tech,Big 12
UCF,Big 12
Utah,Big 12
West Virginia,Big 12
Illinois,Big Ten
Indiana,Big Ten
Iowa,Big Ten
Maryland,Big Ten
Michigan State,Big Ten
Michigan,Big Ten
Minnesota,Big Ten
Nebraska,Big Ten
Northwestern,Big Ten
Ohio State,Big Ten
Oregon,Big Ten
Penn State,Big Ten
Purdue,Big Ten
Rutgers,Big Ten
UCLA,Big Ten
USC,Big Ten
Washington,Big Ten
Wisconsin,Big Ten
Alabama,SEC
Arkansas,SEC
Auburn,SEC
Florida,SEC
Georgia,SEC
Kentucky,SEC
LSU,SEC
Mississippi State,SEC
Missouri,SEC
Oklahoma,SEC
Ole Miss,SEC
South Carolina,SEC
Tennessee,SEC
Texas A&M,SEC
Texas,SEC
Vanderbilt,SEC
Butler,Big East
Creighton,Big East
DePaul,Big East
Georgetown,Big East
Marquette,Big East
Providence,Big East
Seton Hall,Big East
St John's,Big East
UConn,Big East
Villanova,Big East
Xavier,Big East