,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,Team,Dateâ–¼,PTS,Venue,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,North Carolina,2025-03-14,71,N,Duke,L 71-74,200,26,55,0.473,23,38,0.605,3,17,0.176,16,24,0.667,71,27,55,0.491,22,33,0.667,5,22,0.227,15,22,0.682,74
2,North Carolina,2025-03-08,69,,Duke,L 69-82,200,25,64,0.391,16,37,0.432,9,27,0.333,10,11,0.909,69,31,55,0.564,22,36,0.611,9,19,0.474,11,13,0.846,82
3,North Carolina,2025-02-01,70,@,Duke,L 70-87,200,26,55,0.473,19,36,0.528,7,19,0.368,11,14,0.786,70,28,53,0.528,18,33,0.545,10,20,0.5,21,25,0.84,87
4,North Carolina,2024-03-09,84,@,Duke,W 84-79,200,31,62,0.5,24,47,0.511,7,15,0.467,15,18,0.833,84,26,60,0.433,17,37,0.459,9,23,0.391,18,24,0.75,79
5,North Carolina,2024-02-03,93,,Duke,W 93-84,200,33,66,0.5,24,42,0.571,9,24,0.375,18,25,0.72,93,35,69,0.507,30,50,0.6,5,19,0.263,9,11,0.818,84
6,North Carolina,2023-03-04,57,,Duke,L 57-62,200,17,56,0.304,12,33,0.364,5,23,0.217,18,21,0.857,57,22,58,0.379,18,45,0.4,4,13,0.308,14,18,0.778,62
7,North Carolina,2023-02-04,57,@,Duke,L 57-63,200,24,70,0.343,17,43,0.395,7,27,0.259,2,3,0.667,57,24,61,0.393,20,50,0.4,4,11,0.364,11,15,0.733,63
8,North Carolina,2022-04-02 NCAA,81,N,Duke,W 81-77,200,27,64,0.422,17,38,0.447,10,26,0.385,17,24,0.708,81,30,72,0.417,25,50,0.5,5,22,0.227,12,20,0.6,77
9,North Carolina,2022-03-05,94,@,Duke,W 94-81,200,33,68,0.485,24,45,0.533,9,23,0.391,19,22,0.864,94,34,69,0.493,27,50,0.54,7,19,0.368,6,8,0.75,81
10,North Carolina,2022-02-05,67,,Duke,L 67-87,200,24,59,0.407,15,36,0.417,9,23,0.391,10,15,0.667,67,34,59,0.576,25,40,0.625,9,19,0.474,10,13,0.769,87
11,North Carolina,2021-03-06,91,,Duke,W 91-73,200,31,56,0.554,23,38,0.605,8,18,0.444,21,26,0.808,91,28,69,0.406,23,42,0.548,5,27,0.185,12,16,0.75,73
12,North Carolina,2021-02-06,91,@,Duke,W 91-87,200,34,64,0.531,24,49,0.49,10,15,0.667,13,22,0.591,91,36,67,0.537,25,42,0.595,11,25,0.44,4,7,0.571,87
13,North Carolina,2020-03-07,76,@,Duke,L 76-89,200,29,71,0.408,25,59,0.424,4,12,0.333,14,20,0.7,76,25,53,0.472,15,32,0.469,10,21,0.476,29,33,0.879,89
14,North Carolina,2020-02-08,96,,Duke,L 96-98 (OT),225,36,69,0.522,33,57,0.579,3,12,0.25,21,38,0.553,96,34,80,0.425,30,62,0.484,4,18,0.222,26,34,0.765,98
15,North Carolina,2019-03-15,73,N,Duke,L 73-74,200,29,73,0.397,25,47,0.532,4,26,0.154,11,15,0.733,73,31,65,0.477,26,45,0.578,5,20,0.25,7,13,0.538,74
16,North Carolina,2019-03-09,79,,Duke,W 79-70,200,30,74,0.405,18,43,0.419,12,31,0.387,7,13,0.538,79,25,73,0.342,17,41,0.415,8,32,0.25,12,17,0.706,70
17,North Carolina,2019-02-20,88,@,Duke,W 88-72,200,38,75,0.507,36,55,0.655,2,20,0.1,10,14,0.714,88,25,72,0.347,17,33,0.515,8,39,0.205,14,19,0.737,72
18,North Carolina,2018-03-09,74,N,Duke,W 74-69,200,28,71,0.394,21,47,0.447,7,24,0.292,11,15,0.733,74,22,54,0.407,16,31,0.516,6,23,0.261,19,23,0.826,69
19,North Carolina,2018-03-03,64,@,Duke,L 64-74,200,26,70,0.371,18,39,0.462,8,31,0.258,4,5,0.8,64,28,62,0.452,19,37,0.514,9,25,0.36,9,20,0.45,74
20,North Carolina,2018-02-08,82,,Duke,W 82-78,200,30,77,0.39,19,44,0.432,11,33,0.333,11,13,0.846,82,30,62,0.484,21,37,0.568,9,25,0.36,9,12,0.75,78
21,North Carolina,2017-03-10,83,N,Duke,L 83-93,200,32,78,0.41,27,56,0.482,5,22,0.227,14,18,0.778,83,25,50,0.5,15,33,0.455,10,17,0.588,33,37,0.892,93
22,North Carolina,2017-03-04,90,,Duke,W 90-83,200,34,67,0.507,28,50,0.56,6,17,0.353,16,21,0.762,90,24,54,0.444,17,35,0.486,7,19,0.368,28,35,0.8,83
23,North Carolina,2017-02-09,78,@,Duke,L 78-86,200,32,61,0.525,28,49,0.571,4,12,0.333,10,18,0.556,78,30,57,0.526,17,30,0.567,13,27,0.481,13,16,0.813,86
24,North Carolina,2016-03-05,76,@,Duke,W 76-72,200,26,73,0.356,22,50,0.44,4,23,0.174,20,23,0.87,76,25,67,0.373,12,33,0.364,13,34,0.382,9,15,0.6,72
25,North Carolina,2016-02-17,73,,Duke,L 73-74,200,30,70,0.429,29,57,0.509,1,13,0.077,12,15,0.8,73,27,65,0.415,20,46,0.435,7,19,0.368,13,16,0.813,74
26,North Carolina,2015-03-07,77,,Duke,L 77-84,200,28,58,0.483,20,42,0.476,8,16,0.5,13,13,1,77,27,59,0.458,18,34,0.529,9,25,0.36,21,26,0.808,84
27,North Carolina,2015-02-18,90,@,Duke,L 90-92 (OT),225,38,83,0.458,36,73,0.493,2,10,0.2,12,20,0.6,90,33,65,0.508,23,49,0.469,10,16,0.625,16,31,0.516,92
28,North Carolina,2014-03-08,81,@,Duke,L 81-93,200,31,52,0.596,26,40,0.65,5,12,0.417,14,19,0.737,81,29,57,0.509,21,34,0.618,8,23,0.348,27,31,0.871,93
29,North Carolina,2014-02-20,74,,Duke,W 74-66,200,26,55,0.473,24,46,0.522,2,9,0.222,20,31,0.645,74,27,63,0.429,22,41,0.537,5,22,0.227,7,12,0.583,66
30,North Carolina,2013-03-09,53,,Duke,L 53-69,200,21,62,0.339,20,48,0.417,1,14,0.071,10,13,0.769,53,27,49,0.551,22,34,0.647,5,15,0.333,10,12,0.833,69
31,North Carolina,2013-02-13,68,@,Duke,L 68-73,200,25,66,0.379,20,48,0.417,5,18,0.278,13,23,0.565,68,25,56,0.446,19,40,0.475,6,16,0.375,17,20,0.85,73
32,North Carolina,2012-03-03,88,@,Duke,W 88-70,200,36,66,0.545,32,53,0.604,4,13,0.308,12,15,0.8,88,26,63,0.413,20,42,0.476,6,21,0.286,12,21,0.571,70
33,North Carolina,2012-02-08,84,,Duke,L 84-85,200,31,63,0.492,30,57,0.526,1,6,0.167,21,30,0.7,84,27,62,0.435,13,26,0.5,14,36,0.389,17,26,0.654,85
34,North Carolina,2011-03-13,58,N,Duke,L 58-75,200,21,62,0.339,19,54,0.352,2,8,0.25,14,21,0.667,58,29,58,0.5,20,38,0.526,9,20,0.45,8,15,0.533,75
35,North Carolina,2011-03-05,81,,Duke,W 81-67,200,33,63,0.524,29,54,0.537,4,9,0.444,11,21,0.524,81,22,62,0.355,16,35,0.457,6,27,0.222,17,22,0.773,67
36,North Carolina,2011-02-09,73,@,Duke,L 73-79,200,29,68,0.426,27,54,0.5,2,14,0.143,13,22,0.591,73,28,68,0.412,20,42,0.476,8,26,0.308,15,23,0.652,79
37,North Carolina,2010-03-06,50,@,Duke,L 50-82,200,16,48,0.333,15,43,0.349,1,5,0.2,17,26,0.654,50,26,57,0.456,18,36,0.5,8,21,0.381,22,23,0.957,82
38,North Carolina,2010-02-10,54,,Duke,L 54-64,200,20,58,0.345,15,39,0.385,5,19,0.263,9,16,0.563,54,22,69,0.319,13,51,0.255,9,18,0.5,11,18,0.611,64
39,North Carolina,2009-03-08,79,,Duke,W 79-71,200,28,53,0.528,22,41,0.537,6,12,0.5,17,25,0.68,79,22,50,0.44,14,29,0.483,8,21,0.381,19,27,0.704,71
40,North Carolina,2009-02-11,101,@,Duke,W 101-87,200,34,62,0.548,28,47,0.596,6,15,0.4,27,31,0.871,101,34,70,0.486,26,46,0.565,8,24,0.333,11,18,0.611,87
41,North Carolina,2008-03-08,76,@,Duke,W 76-68,200,31,76,0.408,26,65,0.4,5,11,0.455,9,12,0.75,76,25,76,0.329,15,47,0.319,10,29,0.345,8,9,0.889,68
42,North Carolina,2008-02-06,78,,Duke,L 78-89,200,28,69,0.406,25,52,0.481,3,17,0.176,19,30,0.633,78,30,66,0.455,17,37,0.459,13,29,0.448,16,27,0.593,89
43,North Carolina,2007-03-04,86,,Duke,W 86-72,200,31,62,0.5,29,53,0.547,2,9,0.222,22,27,0.815,86,27,64,0.422,20,41,0.488,7,23,0.304,11,16,0.688,72
44,North Carolina,2007-02-07,79,@,Duke,W 79-73,200,31,61,0.508,28,49,0.571,3,12,0.25,14,18,0.778,79,27,63,0.429,20,45,0.444,7,18,0.389,12,19,0.632,73
45,North Carolina,2006-03-04,83,@,Duke,W 83-76,200,30,68,0.441,25,52,0.481,5,16,0.313,18,23,0.783,83,29,70,0.414,22,44,0.5,7,26,0.269,11,15,0.733,76
46,North Carolina,2006-02-07,83,,Duke,L 83-87,200,27,67,0.403,21,52,0.404,6,15,0.4,23,29,0.793,83,29,59,0.492,19,39,0.487,10,20,0.5,19,24,0.792,87
47,North Carolina,2005-03-06,75,,Duke,W 75-73,200,27,67,0.403,26,56,0.464,1,11,0.091,20,26,0.769,75,26,56,0.464,15,27,0.556,11,29,0.379,10,19,0.526,73
48,North Carolina,2005-02-09,70,@,Duke,L 70-71,200,25,57,0.439,22,43,0.512,3,14,0.214,17,23,0.739,70,20,56,0.357,10,31,0.323,10,25,0.4,21,22,0.955,71
49,North Carolina,2004-03-06,65,@,Duke,L 65-70,,,,,,,,,,,,,,65,,,,,,,,,,,,,70
50,North Carolina,2004-02-05,81,,Duke,L 81-83 (OT),,,,,,,,,,,,,,81,,,,,,,,,,,,,83
51,North Carolina,2003-03-15,63,N,Duke,L 63-75,,,,,,,,,,,,,,63,,,,,,,,,,,,,75
52,North Carolina,2003-03-09,82,,Duke,W 82-79,,,,,,,,,,,,,,82,,,,,,,,,,,,,79
53,North Carolina,2003-02-05,74,@,Duke,L 74-83,,,,,,,,,,,,,,74,,,,,,,,,,,,,83
54,North Carolina,2002-03-08,48,N,Duke,L 48-60,,,,,,,,,,,,,,48,,,,,,,,,,,,,60
55,North Carolina,2002-03-03,68,@,Duke,L 68-93,,,,,,,,,,,,,,68,,,,,,,,,,,,,93
56,North Carolina,2002-01-31,58,,Duke,L 58-87,,,,,,,,,,,,,,58,,,,,,,,,,,,,87
57,North Carolina,2001-03-11,53,N,Duke,L 53-79,,,,,,,,,,,,,,53,,,,,,,,,,,,,79
58,North Carolina,2001-03-04,81,,Duke,L 81-95,,,,,,,,,,,,,,81,,,,,,,,,,,,,95
59,North Carolina,2001-02-01,85,@,Duke,W 85-83,,,,,,,,,,,,,,85,,,,,,,,,,,,,83
60,North Carolina,2000-03-04,76,@,Duke,L 76-90,,,,,,,,,,,,,,76,,,,,,,,,,,,,90
61,North Carolina,2000-02-03,86,,Duke,L 86-90 (OT),,,,,,,,,,,,,,86,,,,,,,,,,,,,90
62,North Carolina,1999-03-07,73,N,Duke,L 73-96,,,,,,,,,,,,,,73,,,,,,,,,,,,,96
63,North Carolina,1999-02-27,61,,Duke,L 61-81,,,,,,,,,,,,,,61,,,,,,,,,,,,,81
64,North Carolina,1999-01-27,77,@,Duke,L 77-89,,,,,,,,,,,,,,77,,,,,,,,,,,,,89
65,North Carolina,1998-03-08,83,N,Duke,W 83-68,,,,,,,,,,,,,,83,,,,,,,,,,,,,68
66,North Carolina,1998-02-28,75,@,Duke,L 75-77,,,,,,,,,,,,,,75,,,,,,,,,,,,,77
67,North Carolina,1998-02-05,97,,Duke,W 97-73,,,,,,,,,,,,,,97,,,,,,,,,,,,,73
68,North Carolina,1997-03-02,91,,Duke,W 91-85,,,,,,,,,,,,,,91,,,,,,,,,,,,,85
69,North Carolina,1997-01-29,73,@,Duke,L 73-80,,,,,,,,,,,,,,73,,,,,,,,,,,,,80
70,North Carolina,1996-03-03,84,@,Duke,W 84-78,,,,,,,,,,,,,,84,,,,,,,,,,,,,78
71,North Carolina,1996-01-31,73,,Duke,W 73-72,,,,,,,,,,,,,,73,,,,,,,,,,,,,72
72,North Carolina,1995-03-04,99,,Duke,W 99-86,,,,,,,,,,,,,,99,,,,,,,,,,,,,86
73,North Carolina,1995-02-02,102,@,Duke,W 102-100 (2OT),,,,,,,,,,,,,,102,,,,,,,,,,,,,100
74,North Carolina,1994-03-05,87,@,Duke,W 87-77,,,,,,,,,,,,,,87,,,,,,,,,,,,,77
75,North Carolina,1994-02-03,89,,Duke,W 89-78,,,,,,,,,,,,,,89,,,,,,,,,,,,,78
76,North Carolina,1993-03-07,83,,Duke,W 83-69,,,,,,,,,,,,,,83,,,,,,,,,,,,,69
77,North Carolina,1993-02-03,67,@,Duke,L 67-81,,,,,,,,,,,,,,67,,,,,,,,,,,,,81
78,North Carolina,1992-03-15,74,N,Duke,L 74-94,,,,,,,,,,,,,,74,,,,,,,,,,,,,94
79,North Carolina,1992-03-08,77,@,Duke,L 77-89,,,,,,,,,,,,,,77,,,,,,,,,,,,,89
80,North Carolina,1992-02-05,75,,Duke,W 75-73,,,,,,,,,,,,,,75,,,,,,,,,,,,,73
81,North Carolina,1991-03-10,96,N,Duke,W 96-74,,,,,,,,,,,,,,96,,,,,,,,,,,,,74
82,North Carolina,1991-03-03,77,,Duke,L 77-83,,,,,,,,,,,,,,77,,,,,,,,,,,,,83
83,North Carolina,1991-01-19,60,@,Duke,L 60-74,,,,,,,,,,,,,,60,,,,,,,,,,,,,74
84,North Carolina,1990-03-04,87,@,Duke,W 87-75,,,,,,,,,,,,,,87,,,,,,,,,,,,,75
85,North Carolina,1990-01-17,79,,Duke,W 79-60,,,,,,,,,,,,,,79,,,,,,,,,,,,,60
86,North Carolina,1989-03-12,77,N,Duke,W 77-74,,,,,,,,,,,,,,77,,,,,,,,,,,,,74
87,North Carolina,1989-03-05,86,,Duke,L 86-88,,,,,,,,,,,,,,86,,,,,,,,,,,,,88
88,North Carolina,1989-01-18,91,@,Duke,W 91-71,,,,,,,,,,,,,,91,,,,,,,,,,,,,71
89,North Carolina,1988-03-13,61,N,Duke,L 61-65,,,,,,,,,,,,,,61,,,,,,,,,,,,,65
90,North Carolina,1988-03-06,81,@,Duke,L 81-96,,,,,,,,,,,,,,81,,,,,,,,,,,,,96
91,North Carolina,1988-01-21,69,,Duke,L 69-70,,,,,,,,,,,,,,69,,,,,,,,,,,,,70
92,North Carolina,1987-02-26,77,,Duke,W 77-71,,,,,,,,,,,,,,77,,,,,,,,,,,,,71
93,North Carolina,1987-01-10,85,@,Duke,W 85-77,,,,,,,,,,,,,,85,,,,,,,,,,,,,77
94,North Carolina,1986-03-02,74,@,Duke,L 74-82,,,,,,,,,,,,,,74,,,,,,,,,,,,,82
95,North Carolina,1986-01-18,95,,Duke,W 95-92,,,,,,,,,,,,,,95,,,,,,,,,,,,,92